time_s,latency_ns,mismatch
0.000627948,1434.000,0
0.000629352,1404.000,0
0.000630732,1380.000,0
0.000632136,1404.000,0
0.000633558,1422.000,0
0.000634968,1410.000,0
0.000636372,1404.000,0
0.000637782,1410.000,0
0.000639168,1386.000,0
0.000640608,1440.000,0
0.000641994,1386.000,0
0.000643404,1410.000,0
0.000644766,1362.000,0
0.000646188,1422.000,0
0.000647598,1410.000,0
0.000648996,1398.000,0
0.000650370,1374.000,0
0.000651774,1404.000,0
0.000653178,1404.000,0
0.000654588,1410.000,0
0.000655962,1374.000,0
0.000657348,1386.000,0
0.000658758,1410.000,0
0.000660168,1410.000,0
0.000661578,1410.000,0
0.000662982,1404.000,0
0.000664380,1398.000,0
0.000665784,1404.000,0
0.000667170,1386.000,0
0.000668586,1416.000,0
0.000669984,1398.000,0
0.000671916,1932.000,0
0.000673428,1512.000,0
0.000674880,1452.000,0
0.000676320,1440.000,0
0.000677736,1416.000,0
0.000679110,1374.000,0
0.000680538,1428.000,0
0.000681942,1404.000,0
0.000683352,1410.000,0
0.000684744,1392.000,0
0.000686112,1368.000,0
0.000687552,1440.000,0
0.000688920,1368.000,0
0.000690336,1416.000,0
0.000691746,1410.000,0
0.000693114,1368.000,0
0.000694530,1416.000,0
0.000695904,1374.000,0
0.000697302,1398.000,0
0.000698670,1368.000,0
0.000700080,1410.000,0
0.000701466,1386.000,0
0.000702840,1374.000,0
0.000704232,1392.000,0
0.000705630,1398.000,0
0.000707052,1422.000,0
0.000708474,1422.000,0
0.000709914,1440.000,0
0.000711360,1446.000,0
0.000712764,1404.000,0
0.000714180,1416.000,0
0.000715626,1446.000,0
0.000717030,1404.000,0
0.000718446,1416.000,0
0.000719850,1404.000,0
0.000721260,1410.000,0
0.000722670,1410.000,0
0.000724050,1380.000,0
0.000725448,1398.000,0
0.000726858,1410.000,0
0.000728238,1380.000,0
0.000729642,1404.000,0
0.000731028,1386.000,0
0.000732402,1374.000,0
0.000733830,1428.000,0
0.000735240,1410.000,0
0.000736686,1446.000,0
0.000738096,1410.000,0
0.000739512,1416.000,0
0.000740952,1440.000,0
0.000742368,1416.000,0
0.000743772,1404.000,0
0.000745158,1386.000,0
0.000746580,1422.000,0
0.000747948,1368.000,0
0.000749352,1404.000,0
0.000750720,1368.000,0
0.000752166,1446.000,0
0.000753576,1410.000,0
0.000754956,1380.000,0
0.000756372,1416.000,0
0.000757758,1386.000,0
0.000759150,1392.000,0
0.000760518,1368.000,0
0.000761922,1404.000,0
0.000763326,1404.000,0
0.000764736,1410.000,0
0.000766182,1446.000,0
0.000767592,1410.000,0
0.000768996,1404.000,0
0.000770406,1410.000,0
0.000771786,1380.000,0
0.000773196,1410.000,0
0.000774600,1404.000,0
0.000776004,1404.000,0
0.000777408,1404.000,0
0.000778860,1452.000,0
0.000780270,1410.000,0
0.000781662,1392.000,0
0.000783078,1416.000,0
0.000784524,1446.000,0
0.000785958,1434.000,0
0.000787380,1422.000,0
0.000788820,1440.000,0
0.000790224,1404.000,0
0.000791610,1386.000,0
0.000793026,1416.000,0
0.000794442,1416.000,0
0.000795846,1404.000,0
0.000797262,1416.000,0
0.000798624,1362.000,0
0.000800028,1404.000,0
0.000801438,1410.000,0
0.000803274,1836.000,0
0.000804714,1440.000,0
0.000806118,1404.000,0
0.000807480,1362.000,0
0.000808890,1410.000,0
0.000810282,1392.000,0
0.000811710,1428.000,0
0.000813132,1422.000,0
0.000814536,1404.000,0
0.000815946,1410.000,0
0.000817374,1428.000,0
0.000818808,1434.000,0
0.000820224,1416.000,0
0.000821616,1392.000,0
0.000823008,1392.000,0
0.000824418,1410.000,0
0.000825828,1410.000,0
0.000827208,1380.000,0
0.000828588,1380.000,0
0.000829998,1410.000,0
0.000831396,1398.000,0
0.000832788,1392.000,0
0.000834156,1368.000,0
0.000835530,1374.000,0
0.000836946,1416.000,0
0.000838338,1392.000,0
0.000839748,1410.000,0
0.000841122,1374.000,0
0.000842532,1410.000,0
0.000843966,1434.000,0
0.000845352,1386.000,0
0.000846750,1398.000,0
0.000848154,1404.000,0
0.000849558,1404.000,0
0.000850968,1410.000,0
0.000852384,1416.000,0
0.000853794,1410.000,0
0.000855216,1422.000,0
0.000856578,1362.000,0
0.000858030,1452.000,0
0.000859422,1392.000,0
0.000860808,1386.000,0
0.000862200,1392.000,0
0.000863652,1452.000,0
0.000865068,1416.000,0
0.000866478,1410.000,0
0.000867900,1422.000,0
0.000869292,1392.000,0
0.000870684,1392.000,0
0.000872076,1392.000,0
0.000873474,1398.000,0
0.000874848,1374.000,0
0.000876276,1428.000,0
0.000877722,1446.000,0
0.000879138,1416.000,0
0.000880572,1434.000,0
0.000881976,1404.000,0
0.000883338,1362.000,0
0.000884718,1380.000,0
0.000886170,1452.000,0
0.000887538,1368.000,0
0.000888942,1404.000,0
0.000890340,1398.000,0
0.000891744,1404.000,0
0.000893112,1368.000,0
0.000894480,1368.000,0
0.000895944,1464.000,0
0.000897378,1434.000,0
0.000898764,1386.000,0
0.000900168,1404.000,0
0.000901572,1404.000,0
0.000902946,1374.000,0
0.000904362,1416.000,0
0.000905730,1368.000,0
0.000907098,1368.000,0
