campaign,run,time_h,avg_ns,elapsed_s,mismatches
C_cpu_1core_1h,54,0.905123588,335.221,60.339840,0
C_cpu_1core_1h,55,0.921885045,335.229,60.341247,0
C_cpu_1core_1h,56,0.938645202,335.203,60.336564,0
C_cpu_1core_1h,57,0.955407025,335.236,60.342561,0
C_cpu_1core_1h,58,0.972169495,335.249,60.344895,0
C_cpu_1core_1h,59,0.988932103,335.252,60.345389,0
C_cpu_1core_1h,60,1.005694074,335.239,60.343093,0
C_cpu_2core_1h,1,0.024800365,496.007,89.281313,0
C_cpu_2core_1h,2,0.050402937,512.051,92.169260,0
C_cpu_2core_1h,3,0.075574612,503.433,90.618028,0
C_cpu_2core_1h,4,0.101063249,509.773,91.759096,0
C_cpu_2core_1h,5,0.125980641,498.348,89.702611,0
C_cpu_2core_1h,6,0.150690031,494.188,88.953802,0
C_cpu_2core_1h,7,0.175784689,501.893,90.340771,0
C_cpu_2core_1h,8,0.201372297,511.752,92.115388,0
C_cpu_2core_1h,9,0.226725185,507.058,91.270398,0
C_cpu_2core_1h,10,0.251734511,500.187,90.033572,0
C_cpu_2core_1h,11,0.278110563,527.521,94.953788,0
C_cpu_2core_1h,12,0.303755448,512.898,92.321584,0
C_cpu_2core_1h,13,0.329474822,514.387,92.589747,0
C_cpu_2core_1h,14,0.355867059,527.845,95.012054,0
C_cpu_2core_1h,15,0.382047199,523.603,94.248505,0
C_cpu_2core_1h,16,0.407759155,514.239,92.563041,0
C_cpu_2core_1h,17,0.433195677,508.730,91.571477,0
C_cpu_2core_1h,18,0.458784768,511.782,92.120728,0
C_cpu_2core_1h,19,0.484527440,514.853,92.673620,0
C_cpu_2core_1h,20,0.510094020,511.332,92.039687,0
C_cpu_2core_1h,21,0.537086528,539.850,97.173031,0
C_cpu_2core_1h,22,0.561524884,488.767,87.978079,0
C_cpu_2core_1h,23,0.585956502,488.632,87.953827,0
C_cpu_2core_1h,24,0.611767558,516.221,92.919803,0
C_cpu_2core_1h,25,0.637411759,512.884,92.319121,0
C_cpu_2core_1h,26,0.663200588,515.777,92.839787,0
C_cpu_2core_1h,27,0.689600999,528.008,95.041479,0
C_cpu_2core_1h,28,0.714264204,493.264,88.787536,0
C_cpu_2core_1h,29,0.738531793,485.352,87.363322,0
C_cpu_2core_1h,30,0.764178764,512.939,92.329094,0
C_cpu_2core_1h,31,0.789737431,511.173,92.011202,0
C_cpu_2core_1h,32,0.815316695,511.585,92.085352,0
C_cpu_2core_1h,33,0.841280190,519.270,93.468581,0
C_cpu_2core_1h,34,0.867610529,526.607,94.789221,0
C_cpu_2core_1h,35,0.893135547,510.500,91.890063,0
C_cpu_2core_1h,36,0.918446947,506.228,91.121039,0
C_cpu_2core_1h,37,0.944793129,526.924,94.846258,0
C_cpu_2core_1h,38,0.971047333,525.084,94.515132,0
C_cpu_2core_1h,39,0.996270305,504.459,90.802701,0
C_cpu_2core_1h,40,1.022094802,516.490,92.968188,0
C_cpu_2core_1h,41,1.047627534,510.655,91.917837,0
C_cpu_2core_1h,42,1.073665960,520.769,93.738333,0
C_cpu_2core_1h,43,1.099728749,521.256,93.826039,0
C_cpu_2core_1h,44,1.124810954,501.644,90.295937,0
C_cpu_2core_1h,45,1.150044027,504.661,90.839064,0
C_cpu_2core_1h,46,1.176268556,524.491,94.408305,0
C_cpu_2core_1h,47,1.202090629,516.441,92.959462,0
C_cpu_2core_1h,48,1.226849276,495.173,89.131128,0
C_cpu_2core_1h,49,1.252583873,514.692,92.644551,0
C_cpu_2core_1h,50,1.277960308,507.529,91.355166,0
C_cpu_2core_1h,51,1.302645023,493.694,88.864976,0
C_cpu_2core_1h,52,1.327848831,504.076,90.733706,0
C_cpu_2core_1h,53,1.353858505,520.193,93.634827,0
C_cpu_2core_1h,54,1.379482011,512.470,92.244623,0
C_cpu_2core_1h,55,1.405457094,519.502,93.510300,0
C_cpu_2core_1h,56,1.431391110,518.680,93.362457,0
C_cpu_2core_1h,57,1.456285871,497.895,89.621139,0
C_cpu_2core_1h,58,1.481547454,505.232,90.941698,0
C_cpu_2core_1h,59,1.507975130,528.554,95.139635,0
C_cpu_2core_1h,60,1.534159031,523.678,94.262041,0
